id,user_id,restaurant_id,total_price,order_status,pick_in_site
1,user333,21,312.36,entregado,True
2,user449,42,66.4,pendiente,False
3,user164,6,327.41,listo,True
4,user236,12,420.88,pendiente,True
5,user356,22,152.89,pendiente,False
6,user010,6,64.63,pendiente,True
7,user478,36,355.42,listo,True
8,user285,42,342.35,pendiente,True
9,user342,33,231.7,entregado,True
10,user071,11,429.63,entregado,False
11,user348,44,237.97,preparando,False
12,user436,16,50.04,pendiente,True
13,user469,6,173.59,pendiente,True
14,user214,37,60.59,entregado,False
15,user207,15,257.29,preparando,True
16,user314,14,92.01,listo,True
17,user209,50,72.84,pendiente,False
18,user005,13,79.0,pendiente,True
19,user104,38,457.17,entregado,False
20,user405,36,346.64,listo,False
21,user302,49,95.85,entregado,True
22,user430,45,116.29,pendiente,False
23,user275,34,127.56,listo,False
24,user015,4,175.2,listo,False
25,user121,34,100.49,pendiente,False
26,user422,36,325.14,entregado,False
27,user400,4,92.3,preparando,False
28,user073,5,210.84,preparando,True
29,user249,23,186.24,pendiente,True
30,user104,48,65.77,preparando,True
31,user013,39,238.24,listo,True
32,user500,3,217.38,listo,True
33,user256,17,304.62,preparando,False
34,user464,21,463.69,listo,False
35,user215,6,96.87,entregado,True
36,user003,6,68.32,preparando,True
37,user377,41,378.62,listo,False
38,user209,24,472.38,preparando,False
39,user500,44,119.89,listo,True
40,user306,39,146.28,listo,False
41,user442,47,295.74,entregado,False
42,user384,48,213.39,listo,False
43,user168,37,264.84,pendiente,True
44,user090,25,56.76,preparando,True
45,user313,1,299.88,entregado,False
46,user186,12,211.42,listo,False
47,user259,1,53.41,listo,True
48,user371,39,440.21,pendiente,False
49,user371,37,446.04,entregado,False
50,user152,9,221.19,preparando,True
51,user258,13,312.14,pendiente,False
52,user276,25,380.63,pendiente,False
53,user370,33,273.62,pendiente,True
54,user439,30,356.66,preparando,True
55,user129,34,136.94,listo,False
56,user222,36,499.26,preparando,False
57,user079,26,344.77,pendiente,False
58,user485,50,298.53,listo,True
59,user421,45,149.79,entregado,True
60,user495,2,191.57,pendiente,True
61,user265,19,393.71,entregado,True
62,user321,20,158.59,entregado,True
63,user166,49,245.39,entregado,False
64,user025,29,92.78,listo,False
65,user408,10,185.22,listo,True
66,user218,20,158.12,pendiente,False
67,user145,10,489.68,listo,True
68,user242,15,275.59,listo,True
69,user108,33,239.01,pendiente,False
70,user490,14,273.54,pendiente,False
71,user075,31,152.54,entregado,False
72,user339,33,51.31,pendiente,False
73,user434,28,143.05,preparando,False
74,user434,29,397.21,listo,True
75,user122,27,480.84,preparando,True
76,user444,40,464.31,pendiente,False
77,user117,24,459.78,pendiente,False
78,user139,16,226.89,pendiente,False
79,user137,39,406.05,pendiente,False
80,user005,3,196.6,preparando,False
81,user140,24,395.85,entregado,False
82,user223,23,410.13,listo,False
83,user386,43,191.57,listo,False
84,user461,17,136.69,pendiente,False
85,user028,40,421.78,listo,True
86,user161,19,424.4,listo,True
87,user421,16,364.98,listo,False
88,user048,6,192.21,pendiente,False
89,user224,9,300.49,listo,True
