id,user_id,restaurant_id,reservation_time,status
1,user259,33,2025-03-28 15:00:00,confirmada
2,user351,21,2024-02-01 18:15:00,cancelada
3,user303,31,2024-09-26 20:15:00,confirmada
4,user399,2,2025-05-18 14:30:00,confirmada
5,user045,20,2024-05-01 19:45:00,cancelada
6,user465,40,2024-02-27 18:45:00,cancelada
7,user242,30,2024-04-02 19:15:00,confirmada
8,user202,28,2024-05-14 16:00:00,confirmada
9,user168,36,2024-06-23 19:00:00,cancelada
10,user100,48,2025-06-09 13:00:00,cancelada
11,user355,43,2025-06-22 13:45:00,cancelada
12,user312,9,2024-08-05 19:45:00,cancelada
13,user105,22,2024-05-21 22:30:00,confirmada
14,user235,9,2024-02-29 19:30:00,confirmada
15,user059,25,2024-12-05 21:00:00,cancelada
16,user225,49,2025-02-03 12:30:00,confirmada
17,user311,33,2024-02-16 14:00:00,cancelada
18,user034,50,2024-01-04 18:00:00,confirmada
19,user166,7,2024-07-09 21:15:00,confirmada
20,user031,44,2024-08-07 22:45:00,confirmada
21,user029,46,2024-11-17 15:45:00,cancelada
22,user230,24,2024-04-02 16:30:00,cancelada
23,user199,24,2024-01-28 18:15:00,confirmada
24,user364,29,2024-11-11 14:45:00,cancelada
25,user404,21,2025-05-27 20:00:00,cancelada
26,user164,28,2024-08-04 12:30:00,cancelada
27,user099,15,2025-01-14 13:15:00,confirmada
28,user256,45,2024-11-09 21:45:00,cancelada
29,user354,45,2024-10-03 12:15:00,confirmada
30,user029,34,2025-03-24 20:30:00,cancelada
31,user366,19,2025-02-04 18:30:00,cancelada
32,user286,32,2024-08-25 12:00:00,cancelada
33,user055,2,2025-03-10 18:30:00,confirmada
34,user093,1,2024-06-02 17:15:00,cancelada
35,user332,40,2025-05-29 14:45:00,cancelada
36,user226,9,2024-02-09 16:30:00,confirmada
37,user254,30,2024-01-11 22:30:00,cancelada
38,user014,50,2025-04-07 17:00:00,cancelada
39,user429,11,2024-01-13 20:00:00,confirmada
40,user227,16,2025-03-02 20:30:00,confirmada
41,user376,27,2024-07-29 17:30:00,confirmada
42,user318,46,2025-01-20 19:30:00,cancelada
43,user007,6,2024-08-07 13:45:00,confirmada
44,user189,18,2024-02-04 15:45:00,confirmada
45,user236,33,2025-01-12 22:00:00,cancelada
46,user480,15,2024-02-20 14:45:00,confirmada
47,user419,44,2025-01-01 15:30:00,cancelada
48,user365,28,2024-07-01 12:45:00,confirmada
49,user273,36,2025-05-15 15:00:00,cancelada
50,user449,32,2024-03-10 18:15:00,confirmada
51,user049,36,2024-07-13 15:00:00,cancelada
52,user430,41,2024-06-29 14:00:00,cancelada
53,user025,44,2024-01-24 18:30:00,cancelada
54,user072,35,2024-06-16 19:15:00,confirmada
55,user235,16,2024-12-04 22:45:00,cancelada
56,user021,33,2025-02-10 21:45:00,confirmada
57,user157,44,2024-08-17 16:30:00,cancelada
58,user113,24,2024-06-07 15:15:00,confirmada
59,user094,42,2024-02-19 13:45:00,cancelada
60,user016,35,2025-01-16 18:00:00,confirmada
61,user378,20,2024-10-11 22:00:00,confirmada
62,user137,38,2024-09-16 22:00:00,cancelada
